952167	-579501	197046	758944	145746
778279	539027	651276	-38490	952957
-135433	258053	363200	-593900	595068
-741764	734311	-30631	696338	801561
154551	481587	-177622	985585	229862
58127	-176714	-656745	-293476	-751769
-267818	232941	-156812	-286191	68528
41367	484041	79586	549954	918396
-315441	644195	864424	-806975	343783
-90348	-244929	-599319	-881113	-221811
637869	577259	-971549	621197	-434744
-76852	-200081	282696	697301	-125524
59329	437580	-399591	-751614	-335763
-49170	120080	973744	-552746	-925626
-910550	-744427	698211	129669	533796
-777111	-793902	41034	675668	200355
121335	764349	664694	465448	-135936
-186941	431771	-524610	54903	-493152
-479834	941835	-35291	219068	598043
979815	-200764	-641305	822021	-561079
334850	636138	-604271	875867	-983053
-953643	-176106	-505841	698094	-657125
-964622	-83254	-17731	-503708	819097
-383659	-6195	-850961	-134719	-348188
876395	948910	666851	29850	791053
-127809	186113	-32948	-161767	-404916
265474	624473	-728773	-816654	775279
566889	535070	99485	-344568	257736
-962481	198863	187570	647241	226519
-876597	-751566	322831	671734	584199
493641	233166	252700	533612	-370595
-507208	-248354	940801	-607417	-420703
-494455	-769974	588023	201063	546802
-429050	920734	-951324	185719	148626
-290869	-401906	309301	274066	-351164
162212	571542	890453	-652575	598869
-40155	-500918	-547873	-66490	96156
899061	185234	363251	-584326	-65506
443853	773340	-738426	-426836	-108596
125007	283439	-945598	341758	852493
224254	-560005	-547688	-467567	788193
656433	-372962	-766840	624824	-470214
869534	408213	-925005	-902022	-474254
195288	-734054	-797352	-400548	289165
897559	515726	546680	-15842	-233300
147472	322844	-323572	768486	243621
-616954	-662952	-560069	343209	-929252
515266	-76704	294938	434957	-483848
-125385	-971155	-565464	-58915	978736
-990408	171691	569519	530837	-705262
-219623	-304471	-605311	-792115	609673
-786002	608753	717396	104822	-907974
726384	-243212	689746	959116	342927
-663597	-497358	-843343	-328068	998922
-503723	-285587	648813	-64216	-75572
781275	-253900	896670	658293	477385
-575946	-416672	904900	341471	-758258
330598	-1941	809408	-164822	302247
92025	-313550	909751	502552	469859
423839	882784	-670991	643513	828480
-156742	239663	517697	779162	346234
-510281	-670546	406323	-361168	881873
-172163	777034	23408	853762	818815
134772	189075	-425508	781132	-452090
870011	430288	556742	834752	-676552
-789763	771063	105238	773818	-830615
654521	481263	-528796	-670158	496359
-492261	-816194	-373940	-196868	994498
-37631	987971	-470634	-507266	-497721
-696152	235605	-734290	231876	183648
-357539	580304	957728	-121846	-663221
39775	456138	752653	-578271	-653191
-164268	-160916	62356	-461215	612249
658444	27701	659927	-734456	-320687
-43313	939499	-366605	-324771	555568
-479699	-54890	-577100	934195	-798762
241907	-499263	-386572	549216	35713
-126750	-690622	-409098	157845	-762471
766248	764641	-642890	425440	65220
-951185	-5380	603794	91562	-952326
-234377	433142	-691849	-204589	-153725
-21146	552551	-460807	43129	762502
25809	-443996	-276943	289709	-519118
314110	204989	-215427	101368	268363
896510	401946	-165911	944626	-33876
-934924	-747740	-772347	-746053	-485411
-432541	530692	-712200	-588715	-98040
-210883	401563	641852	977146	-724953
261315	625851	-964347	307689	-273167
307475	976611	-866272	374872	387810
-858586	-736003	456623	-262180	413334
